               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12062,            0.043616,             0.03043,           0.0010331,            0.038462,           0.0007981,          0.00026927,             0.11483,            0.033791,            0.029438,              0.0964,              0.0004,              0.0004
                   1,             0.11653,            0.050734,            0.029926,           0.0013526,            0.057692,            0.001132,          0.00023115,             0.10794,            0.034487,            0.028901,            0.091891,          0.00089109,          0.00089109
                   2,             0.11028,            0.050104,            0.029264,           0.0013158,            0.076923,           0.0014523,          0.00036099,            0.098967,            0.035874,            0.028025,            0.087372,           0.0013723,           0.0013723
                   3,             0.10335,            0.057542,            0.028876,           0.0032458,              0.2319,           0.0096062,           0.0025628,            0.093562,            0.037007,            0.027215,            0.082844,           0.0018436,           0.0018436
                   4,             0.10039,            0.060682,            0.027972,           0.0032636,             0.28054,           0.0035908,          0.00087591,            0.089846,            0.037167,            0.026583,            0.078305,            0.002305,            0.002305
                   5,            0.095338,            0.063053,             0.02687,           0.0049318,             0.43665,           0.0060587,           0.0014265,            0.085162,            0.038428,             0.02604,            0.073756,           0.0027564,           0.0027564
                   6,            0.094855,            0.063132,            0.025661,           0.0063412,             0.65045,            0.028708,           0.0074632,            0.080149,            0.038214,            0.024888,            0.069198,            0.003198,            0.003198
                   7,            0.091851,            0.069564,            0.024633,             0.16182,            0.096154,             0.12419,            0.030135,            0.076455,            0.036617,            0.023506,             0.06463,           0.0036297,           0.0036297
                   8,            0.080531,            0.051085,            0.024405,             0.16167,             0.24208,             0.22174,            0.057579,            0.071518,            0.034715,            0.022648,            0.060052,           0.0040515,           0.0040515
                   9,            0.083065,            0.053649,            0.023291,             0.44459,              0.3405,             0.37926,             0.11246,            0.068745,            0.034948,             0.02218,            0.055463,           0.0044634,           0.0044634
                  10,            0.077147,            0.052075,            0.022922,              0.5511,             0.47398,              0.3925,             0.11203,            0.081359,            0.035462,            0.021739,            0.050865,           0.0048654,           0.0048654
                  11,            0.078945,            0.053739,            0.023159,             0.59498,             0.40498,              0.3054,            0.069438,            0.077482,             0.04132,            0.021687,            0.046257,           0.0052575,           0.0052575
                  12,            0.078651,            0.046999,            0.022642,             0.69548,             0.26923,             0.20214,             0.05884,            0.076992,            0.034514,            0.021562,             0.04164,           0.0056397,           0.0056397
                  13,            0.073569,            0.044632,            0.021005,             0.35151,             0.28959,             0.23649,             0.06425,            0.078539,            0.031304,            0.021133,            0.037012,            0.006012,            0.006012
                  14,            0.075308,             0.04524,            0.021439,             0.24797,             0.57127,             0.25809,            0.090416,            0.072771,            0.024934,            0.020896,            0.032374,           0.0063744,           0.0063744
                  15,            0.073801,            0.046831,            0.020731,             0.17416,             0.51244,             0.17524,            0.053441,            0.072447,            0.026066,            0.021184,            0.027727,           0.0067268,           0.0067268
                  16,            0.069334,            0.050362,            0.019788,             0.10075,             0.44344,              0.1077,             0.03898,            0.081201,            0.028213,            0.020297,            0.023069,           0.0070694,           0.0070694
                  17,            0.080358,            0.037368,            0.018827,             0.31823,             0.62247,             0.38016,             0.15822,            0.070918,            0.025525,            0.020149,            0.018402,           0.0074021,           0.0074021
                  18,            0.071869,            0.041172,            0.020101,             0.13645,             0.37557,              0.1488,            0.047268,            0.072943,            0.023832,            0.020292,            0.013725,           0.0077249,           0.0077249
                  19,            0.070707,            0.046758,            0.019079,             0.15771,             0.52262,             0.17731,            0.061774,            0.078999,            0.025685,            0.019209,           0.0090378,           0.0080378,           0.0080378
                  20,            0.078477,            0.041945,            0.018429,             0.19807,             0.60973,             0.26971,            0.088192,            0.062518,            0.025964,            0.019675,             0.00802,             0.00802,             0.00802
                  21,            0.071165,            0.046481,            0.018988,             0.67561,             0.21154,             0.23919,            0.077008,             0.07553,            0.031958,            0.019526,             0.00802,             0.00802,             0.00802
                  22,            0.069078,            0.047695,            0.019946,             0.19315,             0.57014,             0.29941,             0.10334,            0.061076,            0.033313,            0.020497,            0.007921,            0.007921,            0.007921
                  23,             0.06187,            0.042945,            0.018886,             0.16537,             0.28846,             0.21547,            0.062667,            0.071203,            0.030596,            0.019712,            0.007822,            0.007822,            0.007822
                  24,            0.070659,            0.036947,            0.019629,             0.35593,             0.58458,              0.4036,             0.15161,            0.063641,            0.023795,            0.018574,            0.007723,            0.007723,            0.007723
                  25,            0.065699,            0.049549,            0.017415,             0.20803,             0.54186,             0.31645,             0.12828,            0.058994,            0.025303,             0.01796,            0.007624,            0.007624,            0.007624
                  26,            0.062609,            0.039505,            0.019341,             0.29968,             0.64819,             0.40323,              0.1497,            0.059226,            0.027417,              0.0187,            0.007525,            0.007525,            0.007525
                  27,            0.055841,            0.041065,            0.017496,             0.38419,             0.41516,             0.34329,              0.1279,            0.072166,            0.025059,            0.017734,            0.007426,            0.007426,            0.007426
                  28,            0.071227,            0.040808,            0.016028,             0.25302,             0.60973,             0.37137,             0.13924,            0.054629,            0.026938,            0.016836,            0.007327,            0.007327,            0.007327
                  29,            0.059492,            0.035738,            0.018773,             0.23722,             0.63929,             0.34508,             0.15036,            0.057383,            0.024261,            0.016884,            0.007228,            0.007228,            0.007228
                  30,            0.058459,            0.048201,            0.016113,              0.3312,             0.60068,             0.43451,             0.18846,            0.047855,             0.02975,            0.017147,            0.007129,            0.007129,            0.007129
                  31,            0.055554,            0.039879,             0.01663,             0.31795,             0.40498,             0.34902,               0.155,            0.056014,            0.032003,            0.017174,             0.00703,             0.00703,             0.00703
                  32,            0.060963,            0.043834,            0.015684,             0.31952,             0.64932,             0.43934,             0.20281,            0.049356,            0.023822,             0.01722,            0.006931,            0.006931,            0.006931
